Time(Iteration),UCBLinearTheta,TSLinearTheta,PHELinearTheta
0,0.9897767717105388,0.9796730264206023,0.9974073441287873
1,0.983856396136449,0.9726354974617054,0.9936461035415324
2,0.9622300296625111,0.9533201031257453,0.9886335184371939
3,0.9537295171232067,0.9437461565701796,0.9846034179857239
4,0.9492642996647026,0.9278864057558366,0.9823785714908325
5,0.9431061882035724,0.9100936072813207,0.9789280376450982
6,0.9429019780253401,0.8863182716169383,0.9779828072127748
7,0.9308773586307119,0.8698494570513595,0.9736008896050423
8,0.9067713107186531,0.8693837086133215,0.9690436896239927
9,0.9064262528721301,0.869294875435758,0.9665204219976509
10,0.8839777921587704,0.8399262789432681,0.9618363008060214
11,0.8833960848239707,0.8287571235434802,0.9541509483310652
12,0.8695594391924448,0.8039487341507977,0.9501618259783327
13,0.8646554474873213,0.7950887613030557,0.9453437422503962
14,0.8651983618855665,0.7814792666965853,0.9409554687967473
15,0.865638774941511,0.7762801933551543,0.9382812396618234
16,0.8662494461733494,0.7746829558081907,0.9338319417803553
17,0.8558534878428844,0.7707167379656116,0.9323074240920102
18,0.8467501018696938,0.7639240977609136,0.9296916520216802
19,0.8361292509979178,0.7497105393794407,0.9273622354888642
20,0.8320783322627461,0.7464989433202052,0.9227647829601817
21,0.823603176142278,0.7352241587183459,0.9204398768782015
22,0.8217413108950822,0.732409400886151,0.917672741051596
23,0.8211875105386298,0.7204851185159484,0.9117770744195897
24,0.820513194844677,0.7171176232077763,0.9083735194102243
25,0.8205753497540649,0.7040354807336906,0.8960491073521142
26,0.8201134608311929,0.6931864839854469,0.889757220605833
27,0.8195740704329004,0.6849938214304717,0.8816649755362261
28,0.7960730058816936,0.6736887276011064,0.8765000190564308
29,0.7961445436599645,0.6516585869031604,0.8719903322468724
30,0.7965943902317023,0.6412082676932221,0.8677815548639988
31,0.7956120393554419,0.6314458376361229,0.8636792153187673
32,0.7965254828984883,0.6319394243728838,0.8611138896031283
33,0.7918334463027328,0.6255757776504083,0.8582444965022671
34,0.7698010185922575,0.6159505873999686,0.8550498569245095
35,0.766535268796242,0.6168677238210131,0.8529754821192388
36,0.7595777273174671,0.6128437819417325,0.8512831577438009
37,0.7601622288037558,0.5926661884039632,0.8496887141702901
38,0.7598498063843542,0.5924328753826427,0.8480896126820499
39,0.7512472089212705,0.5873535451350296,0.8469517165811997
40,0.7505086192052759,0.5680730971880602,0.8459100921370023
41,0.7380464758487417,0.5410096503265998,0.845025828501341
42,0.737011478977432,0.5407964273247924,0.8440777041195471
43,0.7347052057789215,0.5403134369093494,0.8432827109771031
44,0.7344384093975085,0.5399131454720691,0.8425887679950315
45,0.7359864377725719,0.5395618303736412,0.8419792289316386
46,0.7357974712352913,0.5395641301342204,0.8413697348161893
47,0.7341813652972919,0.5371341227895794,0.8409374099278631
48,0.7336529391949763,0.5371099269730653,0.8405016792513044
49,0.7328409838646553,0.5350859789803417,0.8399354909352941
50,0.7283994955577417,0.5275149493029261,0.839449502071194
51,0.7296002934342825,0.5275181445211258,0.8390929790530615
52,0.7275521131503238,0.5274134925680632,0.8387124409660232
53,0.7268563709225926,0.5270527662439815,0.8383723993496377
54,0.7263251289197681,0.5217822025835528,0.8381316275708967
55,0.7157880116238636,0.5216474599758489,0.8378732413498193
56,0.7154799181619949,0.5221615832235876,0.8375255397317962
57,0.7143750332271437,0.5225396654162917,0.8373779839018949
58,0.7142605139408134,0.5144998098990913,0.8372043128795061
59,0.7144394137555442,0.5119766932389874,0.837034690935458
60,0.7141741945713878,0.5090404643565798,0.8369258634166364
61,0.7141305950556875,0.5090244576851578,0.8366185394895146
62,0.714091384368323,0.505039969240777,0.8363998956523039
63,0.7140829321858305,0.5042335600419241,0.8362163462253565
64,0.7140648757527668,0.5041973410887525,0.8360753469774496
65,0.7140443809525099,0.4991983842334725,0.8359014077654944
66,0.7140583315374902,0.49923267899555307,0.8358352563185838
67,0.7140571146015088,0.4946791533495253,0.8356931298215029
68,0.7140571292741665,0.4947356221130561,0.8355602159797921
69,0.7140419856699657,0.494713021399933,0.8354207981016243
70,0.7140284488159419,0.4852493057483166,0.8352698685905275
71,0.7140503274030107,0.4853090007083945,0.8351885832476711
