Time(Iteration),UCBLinearTheta,TSLinearTheta,PHELinearTheta
0,0.9676762461049613,0.9509076677955152,0.9839419350130003
1,0.9613530270968742,0.9214165353914126,0.92477048788151
2,0.8915583067465841,0.9339822974459707,0.9032581730794137
3,0.8451112507153707,0.9154704195662665,0.8759225031699058
4,0.8407800846945678,0.8531501041643853,0.8566954876410376
5,0.8384617402107206,0.8104348273816168,0.82501978416809
6,0.8136948207751076,0.7976239837784818,0.801825541352083
7,0.8129861894864316,0.7708919744065994,0.7227878626071302
8,0.8032933360254727,0.7407176898663805,0.7047357387421099
9,0.7978287819586949,0.6811127938115228,0.6843323011714177
10,0.774853981729305,0.6666398991800937,0.6738233218611158
11,0.7544575959995443,0.6650412712214898,0.6601636262128718
12,0.7499653618712947,0.6709853504623091,0.6494053575367383
13,0.7621098781257509,0.6503619308104227,0.6454532070570158
14,0.7699115480127035,0.6437622149626762,0.6457628863285444
15,0.7269498721250415,0.6392459575504862,0.6419612157573658
16,0.7242955782349334,0.6333899321085055,0.6443399449502205
17,0.718425999861628,0.6267800954057917,0.6304280832093153
18,0.7186065757799966,0.6192290283388675,0.630204776059207
19,0.7194993337399265,0.6189763927501931,0.621522653471607
20,0.7186071117131626,0.6206435794239488,0.6194772412865781
21,0.7150312302369197,0.6132753725216349,0.6123856480031041
22,0.7158134859667672,0.6116380630322926,0.6082224743788015
23,0.7157004448177479,0.6117099827351498,0.6104466608297178
24,0.7157999769370138,0.6073745141949738,0.6103592388941913
25,0.7006831645508457,0.6049511659946224,0.6057297948036446
26,0.7126421576512202,0.612154607205491,0.6062312597394779
27,0.712574560299963,0.6124185436992694,0.6063409703989696
28,0.7136467355836912,0.612320609395979,0.6026955822177065
29,0.7146647655582619,0.6163860105494245,0.6053402529670384
30,0.7194616737655504,0.6167496988099509,0.5964089124840725
31,0.7385401539054225,0.6177470305902293,0.5915010314736961
32,0.7477658873959453,0.6099353680354674,0.5897973349307107
33,0.7421406086323252,0.6103879443884168,0.5892535571020853
