Time(Iteration),UpperConfidenceBound,ThompsonSampling,PerturbedHistoryExploration
0,0.45889572455159805,0.3900779973624603,0.45889572455159805
1,0.7235392097833756,0.785749958256492,0.7235392097833756
2,1.0586181147159048,1.1745953105086957,1.0586181147159048
3,1.420826503889036,1.5453900919073398,1.420826503889036
4,1.8510856460981053,1.9729775741560887,1.8510856460981053
5,2.3195136075902525,2.353848948545194,2.3195136075902525
6,2.7127685624923634,2.705124744417476,2.7127685624923634
7,3.193356158880852,3.2476011226248125,3.193356158880852
8,3.595479304959853,3.7557040410101385,3.595479304959853
9,3.9468650568568258,4.170296880410886,3.9468650568568258
10,4.275683723400935,4.642266833974199,4.275683723400935
11,4.689953425635117,5.036090861948046,4.689953425635117
12,5.0572727786461105,5.464988525543957,5.0572727786461105
13,5.509029503539903,5.761175346890071,5.509029503539903
14,5.936857099931432,6.198080837280487,5.936857099931432
15,6.346630795796175,6.603408414181592,6.346630795796175
16,6.846283293084109,6.905272599305252,6.846283293084109
17,7.219290835704255,7.136082341635452,7.219290835704255
18,7.669840623296453,7.421772567048286,7.669840623296453
19,7.950814398619362,7.877635107990658,7.950814398619362
20,8.498940604362117,8.197183377726997,8.498940604362117
21,8.887879451019405,8.662068404745764,8.887879451019405
22,9.223723464223053,9.03714850403713,9.223723464223053
23,9.639809539384268,9.390313543823044,9.639809539384268
24,10.0329701268283,9.740732568652051,10.0329701268283
25,10.238284695260797,10.057305523751399,10.216816963215786
26,10.4473447767952,10.252775251044058,10.52122818589643
27,10.688751252563808,10.565163382369866,10.775104088877951
28,11.084769703566472,10.857145087958838,11.093068894924777
29,11.452393515931119,11.179343544946889,11.438030770602875
30,11.74217092670926,11.46669822373078,11.697507019479403
31,11.927992398630375,11.787034779696759,11.963729296261082
32,12.186875360424475,12.169425572625256,12.30976177634161
33,12.517570038886657,12.500321049105285,12.602897175811542
34,12.902729258391563,12.859270967226626,12.861384078500084
35,13.312059977574254,13.125270806203767,13.161546886247113
36,13.548982493864859,13.47747368925351,13.471525978005952
37,13.796286060698261,13.802243393504714,13.809916190853176
38,13.94838035040598,14.06360525776534,14.110277659646837
39,14.283418010073664,14.38909804251663,14.31282358291918
40,14.613240810939425,14.631607537504706,14.628649723108945
41,14.97394023825552,14.899777322579022,14.843618613786342
42,15.280994652107427,15.224738398641747,15.212202892288985
43,15.58996199070027,15.501277960167263,15.529262832999644
44,15.946837659572358,15.802878869952417,15.825347119798517
45,16.199321069820275,16.0993138428478,16.103349491202707
46,16.357945370915747,16.426243285834026,16.42943953122893
47,16.61328142301118,16.65935995387449,16.70263802143122
48,16.821366342199312,16.816277308226404,17.01139690227876
49,17.16241250086227,17.186517590712093,17.37858021798859
50,17.45549688141346,17.371054325829256,17.563910722329815
51,17.681446255810176,17.655253317747512,17.763890000089564
52,18.015153384918314,17.87464529112502,17.994577329638265
53,18.31637975918341,18.08507402664264,18.299351483707866
54,18.6712211055532,18.412435461783808,18.467057866825073
55,19.01044168290755,18.72907919032785,18.676094773168124
56,19.302564037982428,18.87303019606965,18.957532442838314
57,19.552688687837666,19.14694800689757,19.306453784365377
58,19.724080571751852,19.352916793130564,19.54459482146714
59,20.039170730951575,19.68002244846896,19.788593282676448
60,20.252221942340096,19.921005590933735,20.05533898080263
61,20.49061412638387,20.141355601005156,20.196278633701134
62,20.778028511267735,20.535564361236354,20.37283530169362
63,20.98944169255213,20.824590048553205,20.61882546400816
64,21.235680064138194,21.130051971925973,20.898236973816417
65,21.59706649808181,21.42583291746858,21.114670084723805
66,21.8890268522341,21.777422157989022,21.31406856548149
67,22.152125597545314,21.975372758289318,21.52005880172213
68,22.396720174506527,22.25156827532219,21.717342562918876
69,22.674211719864275,22.502373246084606,21.975981191422942
70,22.924010295110513,22.720866782372333,22.031662240729
71,23.068561159932965,22.95962873926418,22.28060860062847
72,23.28411190426721,23.155679234062525,22.624698955000373
73,23.53953048481981,23.421975742346028,22.92572951038563
74,23.687579372743677,23.743277899784523,23.128786897806243
75,23.87133243746499,23.952011183234422,23.30720766610782
76,24.031212781812382,24.08308198245853,23.39970945560329
77,24.26227627066352,24.25538785699296,23.57640627039863
78,24.44261517337725,24.45326311078926,23.708671560784527
79,24.668597128357302,24.670592591697723,23.970612516802525
80,24.87536207398929,24.811244215070104,24.177695391925127
81,25.136403014115324,25.110062024459232,24.35850343670218
82,25.369063411213936,25.365481767744548,24.433789137072516
83,25.543036796521495,25.560504350330792,24.63832767736771
84,25.744810831954048,25.797528729572985,24.877779434596526
85,25.874408407856844,25.984804667858917,25.132648070357753
86,26.107038190115013,26.186791512409854,25.341124823202836
87,26.38757607002496,26.3722035875416,25.52349885200215
88,26.49370029353809,26.64509465155312,25.6965449789858
89,26.70864241631723,26.93286869001573,25.906167948587022
90,26.8515219069661,27.157253854649134,26.00642388707707
91,27.048299797816092,27.318218466458426,26.229319562024376
92,27.188935223424416,27.55499462876701,26.353698072265804
93,27.419166309458035,27.840959840675232,26.474286099898944
94,27.56377148735671,28.095661574303914,26.635411920234997
95,27.76142545354484,28.24500337362266,26.815650007983482
96,27.958360604256995,28.382343143404377,27.042890781258272
97,28.111702234755874,28.549894047532057,27.228530515926586
98,28.298311665070457,28.8376435616636,27.39700808432056
99,28.35767969598036,29.02938219068949,27.588185597863724
100,28.498033469206188,29.18936998750245,27.726538670223487
101,28.57776531948187,29.251382980983855,27.773706036261757
102,28.827004303675317,29.379562415893766,27.92771386802434
103,29.00787660940672,29.604348595034146,28.064275930210563
104,29.189906936641325,29.80317952824698,28.298503014442577
105,29.375357664804188,29.924685852353043,28.458967827776497
106,29.535761159559804,30.090801993063753,28.549747548495077
107,29.641192620139428,30.254754655717942,28.722979479237665
108,29.756227020474164,30.44773670048668,28.790735698207904
109,29.929494137753686,30.68961665851114,28.91190161759956
110,30.084203405938695,30.909844027320737,29.042441165852228
111,30.26974674411183,31.043885254046046,29.12440535004844
112,30.522571103217416,31.19354600376272,29.247997504748998
113,30.648464481050155,31.278769063063965,29.39793800973762
114,30.736021431833887,31.45650828130136,29.59667193928812
115,30.83573183576102,31.592159905583184,29.709696747567147
116,31.063378592193864,31.767588503513743,29.891661339692824
117,31.320011077087873,31.885437629685583,30.080170591286276
