Time(Iteration),UpperConfidenceBound,ThompsonSampling,PerturbedHistoryExploration
0,0.3566513290432524,0.25440302412445914,0.3566513290432524
1,0.7924938142638138,0.6463452371506169,0.7924938142638138
2,1.1982136985827707,1.033813064615236,1.1982136985827707
3,1.553571715613287,1.4308572680337734,1.553571715613287
4,1.9284479328656317,1.7744868870456378,1.9284479328656317
5,2.2992435985252624,1.920970471566288,2.2992435985252624
6,2.619390352151,2.321439198267808,2.619390352151
7,3.0438172917083834,2.594944300635565,3.0438172917083834
8,3.3900824193802785,2.886674041289861,3.3900824193802785
9,3.7594376368998903,3.323682212158328,3.7594376368998903
10,4.203122349688121,3.665881854933757,4.203122349688121
11,4.593453494226269,4.081400415654162,4.593453494226269
12,4.990035438294995,4.488182064392406,4.990035438294995
13,5.391175269091532,4.944446826460224,5.391175269091532
14,5.746258508102104,5.35991003028595,5.746258508102104
15,6.062383534500858,5.755389077495204,6.062383534500858
16,6.396303365818214,6.233956405973864,6.396303365818214
17,6.821129898137462,6.500436020050195,6.821129898137462
18,7.232421681743172,6.886763627949283,7.232421681743172
19,7.785168484559778,7.28948118960037,7.785168484559778
20,8.059482579515041,7.715631791575393,8.059482579515041
21,8.410083724848494,8.03742399259389,8.410083724848494
22,8.937604279989134,8.415099842161123,8.937604279989134
23,9.307755694445854,8.76284273488053,9.307755694445854
24,9.65467717348902,8.97770989217248,9.65467717348902
25,9.86355673676685,9.26289514282568,9.930501427931496
26,10.123724534736848,9.562408265558222,10.240219730408004
27,10.40098482686345,9.810456146696671,10.42933758643839
28,10.624914121669809,10.080239817997931,10.641513444102499
29,10.929029459630115,10.429807574071173,10.930837458970343
30,11.222081119916094,10.780705669569873,11.206892543281583
31,11.506518133587406,11.02029847038185,11.488799599658245
32,11.763543442711441,11.23518053072795,11.822641329225176
33,12.000006200730882,11.517173327216124,12.180199303578565
34,12.3100809713245,11.73357878914847,12.487418359240358
35,12.637002548106071,11.983215232409336,12.84671431046055
36,12.972809326877842,12.139200940679633,13.066520408187301
37,13.400963205966828,12.338673718109472,13.462853936824112
38,13.663630936854323,12.630088173592965,13.722286429894496
39,13.956414680924288,12.820515276574998,13.92401054723727
40,14.230765393377173,13.139473648349716,14.275136427564831
41,14.455864728323814,13.304887898761312,14.526873900578877
42,14.697379175376478,13.555911860369985,14.736260290542308
43,15.045018885879832,13.859405623769117,14.992970930392616
44,15.377836901189928,14.020190562326032,15.182820260198758
45,15.594883120134934,14.29138779517065,15.568925587294038
46,15.903098481202028,14.636265096946127,15.886587348099818
47,16.150842315902903,14.905943204437339,16.137162437532705
48,16.482401790127703,15.234189962241294,16.43005761458796
49,16.798359695200975,15.48957235629122,16.657903789650693
50,17.064725859948307,15.692030440456374,16.943230021089466
51,17.31081354223938,15.945693732699434,17.240549376193478
52,17.629328038775935,16.08204758712043,17.574035624005443
53,17.984312302160014,16.333365805611184,17.85259638805762
54,18.30869243252436,16.45997308703991,18.193749581068673
55,18.62605968727469,16.660130813647243,18.437053423947553
56,18.945753697413156,16.935123936087514,18.740089393818867
57,19.255588495632075,17.21103819527844,18.96863331483392
58,19.561976040455225,17.423872083279033,19.178195985954503
59,19.837905256695343,17.68390398852532,19.470485568723227
60,20.079739284050834,17.911493909092815,19.697759993086166
61,20.296305593128217,18.111400379438617,19.848863091055513
62,20.489888220847064,18.39348764910129,20.079398392930248
63,20.666084677891405,18.665990083719183,20.239586883315063
64,20.922480250438944,18.885124125818272,20.458142076520183
65,21.073727617405872,19.10747182502209,20.62320702818098
66,21.267028651808054,19.34796204851928,20.71229919408608
67,21.45665897902622,19.521124614115077,20.917989512705233
68,21.677652657724742,19.725393456947813,21.19563896391092
69,21.947339524262553,19.985772524004965,21.378347757219213
70,22.165667268951392,20.26644121842265,21.61874913450237
71,22.363676263295837,20.447821070632983,21.759531788279567
72,22.62109927167726,20.67646147104654,21.878533591752877
73,22.955890363905226,20.87958667493196,22.122639721264658
74,23.231401190580677,21.088540414600125,22.3716301184616
75,23.501652604061718,21.248042718262216,22.622468975497576
76,23.652311048282883,21.475479536309138,22.82846110149982
77,23.810505602422868,21.761965617915283,22.9514008656592
78,23.93068236528452,22.04011135654389,23.178902114362675
79,24.123303356240598,22.266123759710577,23.368335378497093
80,24.35458482134556,22.560482913164268,23.590550264095835
81,24.55462591769551,22.751051784486357,23.817301551200263
82,24.770846752497555,22.98572313830531,24.128756433608533
83,24.99828693930869,23.17052616120214,24.39340489437111
84,25.150189648791617,23.29805764435706,24.600626053131613
85,25.352870938021677,23.440766413299812,24.76410223848298
86,25.641020337659192,23.6443532001447,24.967668778203752
87,25.880603710738605,23.796981681373545,25.13929136732735
88,26.134009910955758,23.920574913606835,25.329482779125602
89,26.39294944997626,24.125379776099713,25.55911167084919
90,26.617995328653556,24.306180425378027,25.63577899559174
91,26.828399065160415,24.430344178178217,25.859735679730562
92,26.98918740089845,24.514279026966797,26.090969545265274
93,27.190352366602667,24.738546952502144,26.26351781462346
94,27.365418718720765,24.993971467105514,26.38241818794638
95,27.608856406677432,25.137087471864636,26.584519387959453
96,27.851548658747596,25.33832675241161,26.74340032365613
97,28.052650430208512,25.536288240304103,26.897549378278775
98,28.26434263497695,25.703050396751784,27.103216399418283
