Time(Iteration),UpperConfidenceBound,ThompsonSampling,PerturbedHistoryExploration
0,0.5233621409405022,0.4090047507802069,0.5233621409405022
1,1.0077626930404426,0.7983063396912258,1.0077626930404426
2,1.5127491550324619,1.2311518571496622,1.5127491550324619
3,1.8607164065781088,1.5270799024196888,1.8607164065781088
4,2.317181866104401,1.9431731775208547,2.317181866104401
5,2.7389587521481236,2.433498450364705,2.7389587521481236
6,3.1541855385327624,2.893546408896074,3.1541855385327624
7,3.7161825407557436,3.321520904315237,3.7161825407557436
8,4.040582001490024,3.640077643150984,4.040582001490024
9,4.494215190120963,4.1053041478004015,4.494215190120963
10,4.899007609295225,4.556179884691899,4.899007609295225
11,5.3029839216784405,4.9257010014707046,5.3029839216784405
12,5.593336664327838,5.4226005835540345,5.593336664327838
13,5.978513721762542,5.94461045307629,5.978513721762542
14,6.365962539349995,6.376445935342295,6.365962539349995
15,6.832420073379358,6.863736112407051,6.832420073379358
16,7.184872943628079,7.210720169274161,7.184872943628079
17,7.692891532360193,7.546783051824197,7.692891532360193
18,8.12650291405186,7.9690805187876705,8.12650291405186
19,8.55816240882414,8.335829231622723,8.55816240882414
20,8.967248550574576,8.832478239603168,8.967248550574576
21,9.489173925339092,9.160246559271803,9.489173925339092
22,9.902704735665537,9.512154325088996,9.902704735665537
23,10.31963902826352,9.880129828927869,10.31963902826352
24,10.85820615317572,10.22988603433608,10.85820615317572
25,11.02619112356119,10.534203376091455,11.067422031088698
26,11.147523650642185,10.88568870026882,11.236503482255799
27,11.307629634989462,11.19116108687261,11.407850753872717
28,11.403910899204977,11.48979937505155,11.681851410736579
29,11.644533230271005,11.638902881207263,11.977809075974001
30,11.85802616470023,11.938745575354789,12.212154766230054
31,12.05025705896013,12.277569849176635,12.455384491614717
32,12.15327934188046,12.579212397568659,12.624570982334445
33,12.39594265192489,12.712181488332044,13.03881509847136
34,12.582890684383532,12.84995256655733,13.220573683800177
35,12.826001280376019,12.975493945362729,13.408235253317969
36,12.953923841838565,13.038207224924221,13.627234348542467
37,13.15363221612686,13.232223545801551,13.792539248887724
38,13.335062205117179,13.362522514574616,13.966039788141506
39,13.472191881609017,13.467434967154977,14.18952174224861
40,13.624931638612619,13.637272659981523,14.471905376494266
41,13.855635435978467,13.702104176359532,14.648595161280477
42,14.085445819646418,13.956915661974781,14.921788686495674
43,14.233151143033108,14.147726172211444,15.097346556438188
44,14.443160155215207,14.240130483397062,15.400897873885857
45,14.50685682986257,14.378539574302442,15.698015459054847
46,14.53700943127132,14.494344740282221,15.918691241215516
47,14.663144929184773,14.681388254831313,16.220564882783727
48,14.818029945466094,14.789083538640664,16.460356280440298
49,14.882087700366782,14.87550436500886,16.738240562852557
50,14.963310481230064,14.97459169458509,16.980661372790482
51,15.017811252231601,15.077276930109969,17.213657393004414
52,15.179942568146618,15.136784424609214,17.42235872528556
53,15.356830913195918,15.175253537932653,17.759829555110155
54,15.51249238583603,15.306972450454078,17.852466323098675
55,15.661302137234705,15.309332335435005,18.036825077685798
56,15.78720782727846,15.42529377386226,18.311454128526307
57,15.917238272244152,15.523713832290806,18.476742985059204
58,16.009996211196924,15.538274252773505,18.643477875263002
59,16.054570125116765,15.604049382089295,18.939742775652647
60,16.11247384783005,15.618552466193625,19.166415946590828
61,16.22122867759664,15.765613158248962,19.42938232729796
62,16.51226819235297,15.827326906975959,19.627542914240188
63,16.612132912312997,15.867678718973687,19.881588285061564
64,16.74985986363907,15.897317248212028,20.062055442706594
65,16.855654718115726,15.900080122444333,20.273119471067936
66,16.88313841102952,15.935029273100977,20.56400087262874
67,16.892853119188125,15.951473485439502,20.8051669451325
68,16.96733304548878,15.969808946585513,20.989181091015723
69,17.094013240498533,15.984229627278264,21.20052278089269
70,17.226109921621344,16.079545992986453,21.244357706680926
71,17.29611528485832,16.152430181948453,21.460098676285178
72,17.3157189210116,16.214768174802423,21.594405949923047
73,17.410724885093252,16.298214252764446,21.930644744893915
74,17.463019062052147,16.35236683653644,22.160541949923903
75,17.530097887205137,16.40669079574631,22.329676832967717
76,17.54528208911887,16.46422602007682,22.52724002247338
77,17.62570533555782,16.556424555531457,22.82145863992334
78,17.7358507691516,16.618193323925844,23.017288905588828
79,17.816074009194566,16.70859940459635,23.14967149323925
80,17.926029022223375,16.726241700715367,23.32522381535273
81,18.057318006562586,16.887478769982614,23.486175934211722
82,18.1132460526372,16.943350027209025,23.687629550720132
83,18.165871861419596,17.039643796537728,23.818805154781376
84,18.20915770393483,17.103711136274445,24.071161826411416
85,18.303909862495054,17.167590456976345,24.290764995339803
86,18.32699423130135,17.17634905576289,24.484746773124677
87,18.430816046876274,17.299161799427587,24.722166832723456
88,18.484171505399086,17.41212284598982,25.00190633821417
89,18.65635636304396,17.457940377872802,25.201798996598082
90,18.81543524704849,17.495861388404887,25.450441588369593
91,18.861349780971402,17.56268897196632,25.64625218964803
92,18.945319405891915,17.57854024430512,25.84835168876024
93,19.050308230281033,17.592960924997872,26.19190117618711
94,19.146287624025106,17.607464009102202,26.341201588460358
95,19.281928137619186,17.705723336597863,26.52375104038135
96,19.366422450944167,17.834766766951482,26.712259520875612
97,19.370184051271604,17.901181642419903,26.826092673068064
98,19.379846959112594,17.91418166344436,26.970327380668117
99,19.500913376188738,18.082127138390867,27.26998537607947
100,19.540013801385296,18.185279829985898,27.376659071682703
101,19.687933282327176,18.259805162167872,27.4619842771883
102,19.74691574009422,18.2838103755823,27.595563956210793
103,19.785392442538203,18.32637846730565,27.84959585502387
104,19.89472098926688,18.428615516886747,28.023471360085164
105,19.93048556633544,18.433842293310924,28.187432982639194
106,20.055461533374476,18.501649036166157,28.352943304031548
107,20.201719823822337,18.573096268845426,28.476743937635245
108,20.213314310044822,18.58828047075916,28.67876474230681
109,20.26367404523773,18.61812594570612,28.93166578718525
110,20.272180592465897,18.638465335007854,29.072523769299302
111,20.303615045265865,18.666799698315586,29.25288743696604
112,20.323918347941927,18.697404927897416,29.452823720032818
113,20.417032339126184,18.720067856762864,29.59728608561801
114,20.483619972794095,18.834424282889028,29.666432612275326
115,20.523904775859485,18.84815760654137,29.77085759891573
116,20.542475498213594,18.933772365265206,29.930892242485328
117,20.5610462205677,18.961385802693563,30.1245080280457
118,20.585745047035026,18.97889812776877,30.328331833242668
119,20.628033715560395,19.015375876270006,30.571449034214744
120,20.65273254202772,19.020620053789614,30.845201174780435
121,20.671285863286396,19.0265341872542,31.033982092580686
122,20.68194494365171,19.09941013663167,31.159743975055875
123,20.684707817884018,19.104844264899622,31.289833011787586
124,20.703015684840675,19.14264354805251,31.317000160262175
125,20.7689818129592,19.175359696226312,31.420465046136
126,20.793737462363225,19.258500131752317,31.55990376780577
127,20.82605528678871,19.290214275014055,31.795259210983126
128,20.850828337288164,19.30772660008926,31.945854935761993
129,20.954716159827935,19.359883848844483,32.089899824807524
130,20.986077874881357,19.445182393135546,32.19273848275587
131,21.019184185638938,19.483144243556957,32.27144687772667
132,21.019184185638938,19.494959684535097,32.49984214845241
133,21.043957236138393,19.515299073836836,32.629536925559044
134,21.087634365329937,19.552023901653534,32.80898538835196
135,21.110012172839742,19.62017157173218,32.995460096408486
136,21.119982093004,19.68366001167309,33.1783052707568
137,21.159349467371563,19.761520548104173,33.196661925181914
138,21.225908740506732,19.77678420103512,33.33431078624467
139,21.292670959262303,19.792220360234097,33.384164727552495
140,21.380869104903,19.801208736985707,33.70285234463275
141,21.39811684982228,19.841777646093774,33.80449760547959
142,21.400476734803206,19.895821012246063,33.93276613423284
143,21.446820388377333,20.01571486102346,33.97558973892954
144,21.518887657707918,20.03320978500324,34.10357091071004
145,21.574989983110274,20.105819430795414,34.22610353555554
146,21.65453127926803,20.114807807547024,34.34043277390091
147,21.7497355542099,20.143830904077145,34.40669206479571
148,21.81331530969231,20.2175215533505,34.47539039267936
149,21.836507312396144,20.226509930102115,34.62377120721912
150,21.9389428784695,20.235498306853724,34.81670500848156
151,21.964211047049563,20.244486683605338,34.86944031357637
152,22.013327522585683,20.298699251264495,34.95879028132742
153,22.032721994739845,20.350489830883028,35.12644524110508
154,22.05692758943524,20.359495608730068,35.23632264082978
155,22.12152443358419,20.434894345146507,35.336145502547694
156,22.33396122492324,20.450028227106767,35.42234274897455
157,22.38663470723853,20.507617008215266,35.54698776212464
158,22.392548840703117,20.53841332310015,35.61277394038801
159,22.42716426368651,20.5783455562945,35.7904449573641
160,22.44225947546864,20.609058826113085,35.85754604097089
161,22.515598508967848,20.64786149224673,35.961004252283146
162,22.60702709690595,20.656849868998343,36.02660044424636
163,22.670670021421458,20.665855646845383,36.10789422441349
164,22.684418943008584,20.677688488918953,36.20330880327083
165,22.71406842373986,20.703979715382253,36.29026319899889
166,22.726738403508254,20.758753800686268,36.29243313323148
167,22.77670752917247,20.77065311249702,36.44445933904164
168,22.8073127587543,20.785995503339645,36.80249535347115
169,22.844506652890093,20.813966704612717,36.92120308247973
170,22.910203837305975,20.824833136821812,37.054355356226175
171,22.98592384515866,20.89256531818726,37.258593700413684
172,23.00244814641185,20.93284439448762,37.40525360485127
173,23.044398880744208,20.948108047418565,37.54392822795212
174,23.076537491509004,20.970875349595477,37.63753752882312
175,23.116493489300908,20.993902382023403,37.795768491815394
176,23.29470818982902,21.04106806109015,37.95531539729045
177,23.316016713801936,21.115773426841578,38.051362103811265
178,23.34391390232882,21.11598077868536,38.100422778571954
179,23.429604257164513,21.1481801430408,38.317914541406886
180,23.500480074588857,21.211950214292738,38.380624666004294
181,23.560064804045307,21.214327500369098,38.483892048157294
182,23.60516964812417,21.267141728384402,38.71311150665337
183,23.611758312678138,21.282773874482388,38.81949760643032
184,23.647658523770367,21.294562016841358,38.98005501949105
185,23.65964058157051,21.317922259017994,39.03064898489009
186,23.714949661711834,21.348544620905198,39.16448743021473
187,23.79314948066468,21.37051129081458,39.28583949934245
188,23.85029188973485,21.407781219734616,39.29670593155154
189,23.890078253384612,21.414617063349077,39.39529202458318
190,23.890078253384612,21.41789865847988,39.488207442463434
191,23.890285605228392,21.442437852621214,39.62107667613681
192,23.90486472518821,21.449273696235675,39.76381343317023
193,23.919443845148034,21.490766587101074,39.83984573177371
194,23.952216453404564,21.57308287976883,39.926124107246295
195,23.975093611710186,21.602005850949254,39.96155953456001
196,23.991617912963378,21.608547726604428,40.000817523273966
197,24.011903814544006,21.62265940852711,40.137245003746145
198,24.035972889723226,21.68925942800086,40.227871481631794
199,24.117328585425458,21.692333671287887,40.288483202926024
200,24.146587056441266,21.699169514902348,40.392243363613986
201,24.20630055462591,21.704621044265732,40.569545435638915
202,24.313624838562667,21.736422182366454,40.62996224411074
203,24.354355512225847,21.77077608216018,40.70738748415828
204,24.39508618588903,21.828899604824233,40.80945235296819
205,24.42646310701553,21.831973848111257,40.87708118030847
206,24.46719378067871,21.835048091398285,40.96119604822594
207,24.507924454341893,21.838329686529086,40.99587797211875
208,24.605262725116514,21.860927842196315,41.13943933196236
209,24.692517513971975,21.861135194040095,41.226540048323336
210,24.75576452159265,21.8663793715597,41.33207709498083
211,24.869994478039402,21.87821221363327,41.42931486717652
212,24.907387170898392,21.9304357797889,41.48884335956896
213,25.00994126906831,21.934197380116338,41.574747617676756
214,25.03942566696881,21.934404731960118,41.70309525942716
215,25.06570452492401,21.987649865553713,41.80734078415695
216,25.091983382879203,21.990724108840737,41.90667371344656
217,25.124850905388364,21.997559952455198,41.95774637462252
218,25.157718427897528,21.99776730429898,42.052528810694774
219,25.17260513079729,22.01296933251345,42.10697991226368
220,25.187491833697056,22.04916272636205,42.18523101662793
221,25.202378536596818,22.055998569976513,42.28094408900176
