Time(Iteration),UCBLinearTheta,TSLinearTheta
0,0.9843655074797661,0.9913811076231107
1,0.9651998055500997,0.9707967369827541
2,0.9442148429093885,0.9376948658802979
3,0.9215558953187266,0.9296950848993687
4,0.9163916375818669,0.9102433884696867
5,0.9071674309085506,0.889476835834531
6,0.9068849174250087,0.8831094276840654
7,0.9018939634396139,0.8697080240209152
8,0.8992808351093327,0.8487366682342099
9,0.8851560584327398,0.8283289158942855
10,0.8795814036076915,0.7990474403258543
11,0.8762955705628042,0.7917001716225618
12,0.875590449241859,0.7584469923494966
13,0.8693567831659648,0.7281487254561201
14,0.8522861371650361,0.7028554353346422
15,0.8493956721968845,0.6924449371941629
16,0.8298195677713961,0.6648251127029965
17,0.816818407627982,0.6194486800595059
18,0.8107890860748188,0.6037607538378037
19,0.8022329169599844,0.5803558382290726
20,0.7999728716635451,0.5675506687224579
21,0.7829933871484045,0.5440257883723638
22,0.7841123486539641,0.5303243040639288
23,0.7708859761150516,0.5150902000672705
24,0.7658773650379758,0.5080982484803245
25,0.7630875493264706,0.5052172867867979
26,0.7541242055166479,0.4978821156016583
27,0.7466087136182051,0.4843361193990187
28,0.7135150721394721,0.4556425101897508
29,0.714289656235611,0.45150218477957943
30,0.7106054168372287,0.44876855220915246
31,0.710218020992041,0.4475776669482392
32,0.7083186080846252,0.44706941015610013
33,0.6990256533462468,0.4464313016016592
34,0.6837921732623035,0.44214754680318674
35,0.6724053854126512,0.4405617552876008
36,0.6713155032948855,0.43988473377980714
37,0.6548246766418134,0.44079819515302204
38,0.65084685144651,0.4397255707412529
39,0.6468924890379384,0.4378991084759871
40,0.6291989739633397,0.4375711946125193
41,0.6288339277679728,0.43476350411659637
42,0.6245989579417471,0.43399150700782113
43,0.6242629400910313,0.43447705344181636
44,0.6230493894183159,0.4341808652044222
45,0.6223085005460965,0.4342265094789304
46,0.6129264349674685,0.43424406918372727
47,0.6110614780714257,0.4362177718982062
48,0.6104397086429736,0.4362284105965407
49,0.5965349703702196,0.4354878345675936
50,0.5961466853572986,0.4329356761743193
51,0.594221603198994,0.4327482792229745
52,0.5935749356458184,0.4335019402548025
53,0.5919492063603502,0.43249699458798985
54,0.591589397006052,0.4317054389387602
55,0.5882409868618061,0.4317507546284869
56,0.5802950962426369,0.4315345532095941
57,0.5778652523849171,0.431490106904067
58,0.5774333904804785,0.43149140413077774
59,0.5785736350968276,0.43136805776053305
60,0.5786840791003379,0.43030867189577726
61,0.5788112390707181,0.4301546301209845
62,0.5788173731529129,0.43011571648927316
63,0.5793377585692786,0.43039721705855644
64,0.5779477494292344,0.4303359168900654
65,0.5746629064209844,0.43004670955468705
66,0.5742188297465197,0.4283256414356019
67,0.574192481617492,0.4270614822745314
68,0.5723293104241991,0.42722231335150546
69,0.5716802562090854,0.42761778376600407
70,0.5713440524926359,0.427374201598907
71,0.56870864093787,0.42734584676890286
72,0.5591879102791173,0.42718936520211825
73,0.561614320697644,0.4272036664398966
74,0.5623247197091586,0.42739021956973283
75,0.5622511561892181,0.4272767383774031
76,0.5622399239403972,0.427308245266745
77,0.5599644171974061,0.4272589197364587
78,0.5601417735183143,0.4273946792921878
79,0.5601886991333512,0.4274049458417314
80,0.5574065135045558,0.4273925085220139
81,0.5565903685073297,0.42747944123060855
82,0.5536354524716031,0.427324106471435
83,0.5529926521043522,0.4273430800030952
84,0.5473722864614714,0.4266163067316562
85,0.5298078494774259,0.4267173239716232
86,0.5269909759818068,0.42667699240550283
87,0.5256894966938812,0.4264650348278577
88,0.5256508222420204,0.4264949399426401
89,0.5260897561685116,0.42648355282788203
90,0.5265798758807299,0.42643536192528375
91,0.5265766965991833,0.42655511627160425
92,0.526570806692406,0.42656932006230697
93,0.5265816238488454,0.4269400922554694
94,0.5265697328739287,0.4269525426265683
95,0.5265768550797484,0.4270818252109093
96,0.5265798451758625,0.42702820787832396
97,0.5265918521690442,0.4256064846114226
98,0.526578957562968,0.42314496379317534
99,0.5265665738026641,0.4230979204524374
