Time(Iteration),UpperConfidenceBound,ThompsonSampling
0,0.46160324953409637,0.5037338479200713
1,0.9429105765477427,0.8640470600161849
2,1.343409952824223,1.277320244550722
3,1.805741022246695,1.7022990565779783
4,2.1979945117157342,2.064315118914235
5,2.6211997718775897,2.4972061508419396
6,3.0447860700661975,2.798693503086871
7,3.4480267146013106,3.2801677465178827
8,3.909255914947834,3.5808966989797
9,4.316699886134395,3.8919917807628366
10,4.59735807896355,4.258680460022425
11,4.917558717078303,4.6741314072523465
12,5.299632201737127,5.118581263673014
13,5.746105379682402,5.555468941421368
14,6.2209301107285935,5.8424400754895185
15,6.509598240265271,6.203202719874299
16,6.9620898106404825,6.6568008788775
17,7.245520451330274,6.932336810554962
18,7.573709070508952,7.317907246453652
19,7.839610650547233,7.727060487851093
20,8.089166635004366,8.135354931337577
21,8.488167965114835,8.368184266671895
22,8.928600978583862,8.625435650817247
23,9.26506406898352,8.903951545315133
24,9.738890088808244,9.235643217341165
25,9.848035155327747,9.575283687957654
26,9.934763057282733,9.814523433323528
27,10.048336929300914,10.02516136846927
28,10.1480678754345,10.207922692847703
29,10.236240575777352,10.518498967912915
30,10.45090820116361,10.69566109410064
31,10.614800650789253,10.886355739722616
32,10.86120063325544,11.152360818474897
33,11.034923105727106,11.30182753588977
34,11.231513607081606,11.44443428058557
35,11.500769067419558,11.678716555475969
36,11.702821943427917,11.828984543127005
37,11.845955555834001,11.992285798439319
38,11.938516211567507,12.170361568077748
39,12.03125395430189,12.366088257119316
40,12.265784982598603,12.433927511388024
41,12.45447551402879,12.532524984517636
42,12.581867311123206,12.7028119244992
43,12.681009404554644,12.82334325781164
44,12.766609538824365,12.943999861499478
45,12.890778238461781,13.157084720073632
46,13.0150209680936,13.323487542128126
47,13.282174867187047,13.513665901707052
48,13.379937642211237,13.602339785275223
49,13.67486470260938,13.774782164272754
50,13.853077808621034,13.89745847713217
51,13.947405668248186,14.007866824681207
52,14.060001274978978,14.141105241333616
53,14.24880010915086,14.34943729557008
54,14.393273141477849,14.41167491457821
55,14.435140231763501,14.48037625409744
56,14.529420148578911,14.620039975711999
57,14.619157779831946,14.828782876915298
58,14.729472529510407,14.874562767391854
59,14.828253488409993,14.930333576005031
60,14.94995636914453,15.095058638337942
61,15.032300747564875,15.169796939714752
62,15.165489574583678,15.23441886793707
63,15.356888912794352,15.3149083087296
64,15.440964063217447,15.399684039990722
65,15.533388676850242,15.489704341663323
66,15.604956069200309,15.572138969965959
67,15.729216731513313,15.694484697873344
68,15.77935063775655,15.803198948045221
69,15.897375953552878,15.872798848282859
70,16.05201589137544,15.978962262950892
71,16.215190255730445,16.10453270165711
72,16.36028308944946,16.195730824497836
73,16.482964033387006,16.2874606262407
74,16.58710732045761,16.292239030590803
75,16.691520970154183,16.333922900841003
76,16.812075338795673,16.435535052175204
77,16.87479074675592,16.600956028929453
78,17.12728682123967,16.63927395240944
79,17.23885562205518,16.67675866545418
80,17.314332312674576,16.864247454117425
81,17.426332714873094,16.922659372506466
82,17.512556821050975,17.0137159330147
83,17.635402829260215,17.13869504977418
84,17.756642072048567,17.17586601043464
85,17.869183377392964,17.207383035306876
86,17.92542525595108,17.25853447753565
87,18.091766120059606,17.365112003960455
88,18.160082384981415,17.452931468812615
89,18.226251433328095,17.548200439744445
90,18.273737740787478,17.670997156571396
91,18.341886442461252,17.691015749413616
92,18.472717692738584,17.69387447487298
93,18.539259926024016,17.72015920350506
94,18.639823244193977,17.790399841042362
95,18.739279225343143,17.826756844815687
96,18.8994476701519,17.882428908524698
97,19.01027533233399,17.93840513973033
98,19.060191042945217,17.97479901264722
99,19.202291201181353,18.072690771831727
100,19.302637698315763,18.152797237454354
101,19.35916361104845,18.176434888317168
102,19.5242033093517,18.18240959350402
103,19.558248815095062,18.213245063253623
104,19.633264003350604,18.25154310453727
105,19.750590283777477,18.326384555533927
106,19.79782216138498,18.386489742447353
107,19.875069937671793,18.457592125307745
108,20.00572611432637,18.52197461652844
109,20.183452077591262,18.525389057402304
110,20.26867359497644,18.54062708788562
111,20.31448619082189,18.634133715421957
112,20.496977730059868,18.654390532224056
113,20.613373382448366,18.700298061367768
114,20.653803389838778,18.710830322585718
115,20.702046327241213,18.79096800876345
116,20.75327206942202,18.836707000611653
117,20.811373212434738,18.857112402811296
118,20.85296227652419,18.923095210918355
119,20.969637714799674,19.055645683892074
120,21.01058097198011,19.137225358970667
121,21.116374464664407,19.252156311241443
122,21.210396577425954,19.333668622231105
123,21.43688265690505,19.508235177291358
124,21.54817843435356,19.540952790252504
125,21.62726977646641,19.59448334388166
126,21.660689601901062,19.645071631885607
127,21.70962608255243,19.66268944035049
128,21.785816777499672,19.77125421965896
129,21.80068420900309,19.88530995770784
130,21.84931555665102,19.938506086946358
131,21.86045243297218,19.97941496478938
132,21.934100111532988,20.010255030163087
133,22.055827327933454,20.11064668386516
134,22.23862529743049,20.157228503543443
135,22.328756157630163,20.167169079027854
136,22.38443614121956,20.295578745588138
137,22.404841543419202,20.30468872571751
138,22.438978821307703,20.357147964793935
139,22.594833827339446,20.409100886003564
140,22.664631056640086,20.42562714762341
141,22.77492667162268,20.485656423657936
142,22.78006954754195,20.54332406013051
143,22.833462461350347,20.549022651464277
144,22.872726312893704,20.725720476265963
145,22.9315978838372,20.737413068001622
146,22.975937724519248,20.80490400106398
147,22.99479183427619,20.898307685513934
148,23.123415701567673,20.9017221263878
149,23.140059122043674,20.921706526558705
150,23.206008380339387,20.933694806190864
151,23.225376633882117,20.97005180996419
152,23.25068711657407,20.983036487617674
153,23.349282335186555,21.023628165771015
154,23.415418326190398,21.0839221570584
155,23.477587704698685,21.09844982779184
156,23.479871855158585,21.14596409603371
157,23.482156005618485,21.301113511168072
158,23.54791007389898,21.34863854935383
159,23.557610505849347,21.36699255956463
160,23.56102494672321,21.443526135460758
