Time(Iteration),UpperConfidenceBound,ThompsonSampling,PerturbedHistoryExploration,UCBLinear,TSLinear,PHELinear
0,0.08136611267317376,0.07451779467850438,0.08136611267317376,0.08136611267317376,0.05309205821254146,0.08136611267317376
1,0.170898664109487,0.19264923930782007,0.170898664109487,0.227029009609919,0.16605966192625848,0.170898664109487
2,0.23051813254993067,0.30698366052895654,0.23051813254993067,0.3715345884095659,0.30290520122750786,0.23051813254993067
3,0.35421676391966445,0.37231419079178607,0.35421676391966445,0.4898321034831986,0.4528132453596133,0.35421676391966445
4,0.48222581529736885,0.4575633110634011,0.48222581529736885,0.6013980383212986,0.5912488699264709,0.48222581529736885
5,0.5989861902439885,0.5666728164276656,0.5989861902439885,0.6906846290955128,0.6833867972410275,0.5767915612677437
6,0.7309617819826049,0.7078689743917415,0.7309617819826049,0.7976331368988763,0.7908973730006269,0.6527443220668149
7,0.886968409417982,0.83047676053227,0.886968409417982,0.8913166674922632,0.9163698957610468,0.7220473133773004
8,1.001773305207221,0.9139078122386064,1.001773305207221,0.9983952827083197,1.0481996085587129,0.762229643706718
9,1.0879527468770256,0.9906352517908668,1.0879527468770256,1.1171319597069083,1.1305463129202118,0.8562377708373067
10,1.2490825797155936,1.131068834488632,1.2490825797155936,1.2420552709193127,1.2550843848424296,0.9468921312621825
11,1.3764382501139119,1.1947800144754122,1.3764382501139119,1.3381787519463555,1.3615282869211163,1.103304962841059
12,1.4371387790785337,1.3309610639602307,1.4371387790785337,1.4364420140769596,1.4854659725858528,1.2362230451683254
13,1.520999069466734,1.4238728032100352,1.534225727905147,1.5806636784330697,1.584027433483341,1.3719828876529767
14,1.6068192319603951,1.499635826929755,1.642146983281868,1.6627603960631216,1.6672884442967824,1.4515087223106058
15,1.7140282537518865,1.6410923438861693,1.773314760951175,1.765969823995831,1.7398464458101202,1.5312419302172704
16,1.7993949646678167,1.762762334908431,1.8586814718671054,1.883423679136539,1.8691119079820744,1.59715859364024
17,1.886111834319437,1.8316330610579947,1.9453983415187257,2.0230254769192704,2.004469560421517,1.7508259475083616
18,1.961497872602595,1.9540865337043987,2.0572604241780326,2.1777418439431564,2.1279335261843104,1.8633819028408745
19,2.0584866859429107,2.0334009960679813,2.154249237518348,2.273532663968079,2.199696361745226,1.9707201126566443
20,2.2208488442086165,2.1580821376589983,2.3087752074831225,2.383229328876842,2.2892533982963923,2.073323186809473
21,2.3020817624286716,2.2641226473370106,2.3900081257031776,2.4352292218376763,2.3907978146916635,2.1923759254024575
22,2.384149590195527,2.3388183603282466,2.4843659874701496,2.528428614114124,2.5116960351771795,2.2764199652714767
23,2.5116173202341026,2.4094342385612584,2.6056641090975923,2.6350012065006654,2.588440876313091,2.3651331278890644
24,2.616090083780564,2.5505190058117764,2.6885259793965433,2.7136709004894928,2.6670649409083946,2.4620907974106094
25,2.7447402832862258,2.642979151301226,2.794496749253601,2.8237180523454164,2.7999576091975324,2.5600016976579214
26,2.8553202892388407,2.7381433905893875,2.864838258098273,2.89426955346821,2.8704067448296953,2.6886572031392046
27,2.986206997034844,2.8815846535868337,2.9672020288221623,3.0234144340531097,2.939760785409789,2.861520745494105
28,3.0613223603422046,2.9440182063009446,3.047195461091464,3.0698938174631767,2.9865001507781788,2.9698032790343243
29,3.119138130331911,3.0317524660507233,3.104638866252185,3.1518781848601725,3.140621682558224,3.086629100026692
30,3.217194752150763,3.122512026788964,3.238742647062453,3.2601426525234265,3.1946617125272785,3.206523358943361
