Time(Iteration),UCBLinear,TSLinear
0,0.4380907693655315,0.360190696252266
1,0.8244873317287578,0.729161405016777
2,1.0937358510305388,1.1272793477053875
3,1.3689403192846359,1.5319497498301398
4,1.72422232094168,1.9328813262842828
5,2.041114822410454,2.32046710234806
6,2.2889458137737164,2.589294541410947
7,2.611153674195733,2.9160054500439174
8,2.7655980055306695,3.1914838702155643
9,2.9195143048292773,3.4450651549754205
10,3.085122651088146,3.6895346807818115
11,3.20962623599594,3.9308513922792514
12,3.3484292067726438,4.249652741717154
13,3.416723961151196,4.594256990898949
14,3.520111971953617,4.812359442361229
15,3.644698132197097,5.066076249384035
16,3.748869399241989,5.288459822026399
17,3.831598536605018,5.510808128336773
18,3.908399009093956,5.689433060884514
19,3.960748914294593,5.77444562206177
20,4.064038427556158,5.949793365005076
21,4.130049878931228,6.235300073843581
22,4.189474606900339,6.349035703093773
23,4.264774911829528,6.454391419083822
24,4.381424147901063,6.524016566707405
25,4.475664246527584,6.590773223629261
26,4.62412277224529,6.6241443410197025
27,4.673043334958427,6.776328095792316
28,4.757198793323551,6.918670001073673
29,4.774484829180931,6.969912494431947
30,4.791770865038312,6.995576650954808
31,4.801063576454295,7.208723987654892
32,4.8103562878702775,7.224026300910803
33,4.898656071628457,7.290288171976258
34,4.915942107485837,7.400865537015852
35,4.933228143343218,7.495353959695568
36,4.950514179200598,7.5654319211886385
37,4.967800215057979,7.579005517668392
38,4.98508625091536,7.739230106675255
39,5.049009361828517,7.794396460394685
40,5.107339670544869,7.8726196608196775
41,5.1353203844587805,7.939580544847935
42,5.226052950850565,8.015807360573081
43,5.290160386207048,8.028663957354677
44,5.367397772677473,8.158641670262298
45,5.427377114036401,8.278745306848702
46,5.5389638276794075,8.324658944024707
47,5.652872286528364,8.421883588370083
48,5.720369670330923,8.437963516225082
49,5.798602792814137,8.564000710048933
50,5.871975687792324,8.576916417487066
51,5.958277915856733,8.629202345436875
52,6.014876388715472,8.652757858245272
53,6.0844272875409136,8.729070774894483
54,6.180012028473826,8.801819146529724
55,6.247890792981548,8.840603795302385
56,6.349203468094042,8.88321885230452
57,6.433234646646876,8.906353448807108
58,6.5287408668133065,8.919787317296713
59,6.621310518104714,8.923754929366616
60,6.697145097185393,8.988200401475291
61,6.816349042792218,8.98972229707088
62,6.866364887716901,9.033984356157307
63,6.908566338790317,9.034642245198926
64,6.975503237570729,9.034642245198926
65,6.99452761364544,9.04755795263706
66,6.9976312191613745,9.051525564706964
67,7.064232536248241,9.079111097395392
68,7.078324293779464,9.079111097395392
69,7.092416051310687,9.083078709465296
70,7.101708762726671,9.157919484975203
71,7.111001474142654,9.181054081477791
72,7.125093231673877,9.23435462206444
73,7.143650226106129,9.28855647582929
74,7.152942937522113,9.329216357567105
75,7.153600826563732,9.372765109592768
76,7.162893537979715,9.37563598870749
77,7.176985295510939,9.404437242274815
78,7.186278006926922,9.417636784935615
79,7.195570718342905,9.418294673977234
80,7.204863429758889,9.44692652923874
81,7.214156141174873,9.44692652923874
82,7.223448852590856,9.462894625102404
83,7.232741564006839,9.463552514144023
84,7.242034275422823,9.463552514144023
85,7.251326986838807,9.478602575232038
86,7.26061969825479,9.540117372757619
87,7.2699124096707735,9.540117372757619
88,7.279205121086757,9.540775261799238
89,7.28849783250274,9.555825322887253
90,7.297790543918724,9.58046634841922
91,7.307083255334708,9.598985824268938
92,7.316375966750691,9.621256414217557
93,7.325668678166674,9.668690862041464
94,7.3349613895826575,9.749541645235261
95,7.344254100998642,9.751987361709578
96,7.353546812414625,9.800513666189367
97,7.362839523830608,9.823485417967756
98,7.372132235246592,9.88866540725235
99,7.386223992777815,9.891769012768286
