Time(Iteration),UpperConfidenceBound,ThompsonSampling,PerturbedHistoryExploration
74,28.830468690720977,27.337274824285704,25.953854785271876
75,29.142000056438565,27.73566427952761,26.19846373783663
76,29.435596933273878,28.019308967520068,26.472331812617757
77,29.739032082589922,28.252248525940786,26.795530459208397
78,30.04688683869541,28.559238864820042,27.171224715349354
79,30.319406512346696,28.93939297055785,27.60139964144493
80,30.619275370515158,29.290695373515568,27.813951227648356
81,31.08139907002477,29.631998392307658,28.179438071152617
82,31.485498757567832,29.93719225435035,28.430869271989888
83,31.864975369434212,30.341702901704984,28.76155894412609
84,32.12099902719904,30.659355297141524,29.02234315257048
85,32.46983956136228,30.95686907014751,29.418011294317694
86,32.84987039733217,31.398979454846888,29.676229445496865
87,33.20368685610144,31.758912482677772,29.85945348860949
88,33.540286864945074,32.104078991440865,30.082557021451017
89,33.8485410903034,32.40235060253433,30.451911175289297
90,34.10271443893173,32.86138686559366,30.621164289962813
91,34.47448747497864,33.09118614461495,30.87227051255477
92,34.91255515034823,33.511143355309464,31.135208917442363
93,35.27303167388426,33.83718046697045,31.33395094993481
94,35.719039213696234,34.16111416562798,31.623550205440353
95,36.12437297567557,34.55834310873908,31.770620386635454
96,36.4207080972542,35.00604438316957,32.05318199723006
97,36.78809393862691,35.37890217314662,32.25823759551408
98,37.14780534334446,35.718139105407914,32.454318817145705
99,37.37650539172602,36.12440867511184,32.79278951997092
100,37.712261894163554,36.524100636851564,33.08620021946797
101,37.97605157683056,36.756326333880644,33.295603316478285
102,38.323219924018645,37.10282729147762,33.45033862045994
103,38.52471626903319,37.3803500288152,33.644942308991475
104,38.790591171869735,37.583738100848834,33.943969655615504
105,39.160647590826436,37.91270614768414,34.12425475176223
106,39.593059712784495,38.21786514318257,34.32660216787552
107,39.982919429194084,38.44685450020761,34.631432451656636
108,40.309085514959456,38.85022485660336,34.87613213331791
109,40.6649615705645,39.09481827353401,35.09583551190237
110,40.903458798308144,39.543590331794654,35.38927517321879
111,41.195049564751635,39.85529315075938,35.604005157533955
112,41.41458087158556,40.1451282155616,35.856690915865705
113,41.663453576547006,40.462992861871896,36.04366706954424
114,41.89220075648204,40.71448997346068,36.246711933740656
115,42.075725124813374,41.104948481193006,36.354278040698624
116,42.381299329263086,41.35267257748828,36.54612489148228
117,42.65123608654518,41.710246487692366,36.85010077815544
118,42.908074387340704,42.08125755863752,37.02868362337151
119,43.18742520799073,42.38638825156321,37.23907753438271
120,43.583321368084555,42.78748571264593,37.38279834700354
121,43.86443579570169,42.98660623629325,37.54992855535365
122,44.1515531351814,43.38249470848915,37.73880299042181
123,44.492584953001575,43.61054480995911,37.942048519488296
124,44.752801106200565,43.95793392134916,38.115639712829946
125,45.04298106354283,44.17215203928974,38.39532876687829
126,45.384241015003084,44.44625409914174,38.70593687604276
127,45.805619642589065,44.73051860182242,38.94617136971746
128,46.187575914048075,45.07542483571255,39.07670387192916
129,46.36955378989548,45.359259961091986,39.220985299985436
130,46.57654789055802,45.613606002879045,39.38699108336028
131,46.88143447809265,45.99112462251382,39.59443479157182
132,47.274519366968214,46.29546505821412,39.79156306555
133,47.594532255520235,46.673847690799946,39.91269979434138
134,47.91125787286887,47.000610783648426,40.07359882215979
135,48.21753764798683,47.337777255428115,40.2241867263336
136,48.6081998009205,47.57695183327774,40.50540752561321
137,48.893938852623705,47.92435621183232,40.68855309692597
138,49.25429708755766,48.18447402067811,41.01391676072959
139,49.60664850896606,48.472062081641795,41.19295352588929
140,49.95746319743121,48.786041665319146,41.3075770470339
141,50.30997665911191,49.01391890745849,41.56242686003383
142,50.59608667418247,49.32834406067907,41.75019902476996
143,50.82750099582323,49.57795942634616,41.99970233436186
144,50.997375967055504,49.88965329569868,42.21981292323032
145,51.13716740184789,50.0947599541036,42.40095590804323
146,51.45220713137623,50.42726134788418,42.57358033689961
