Time(Iteration),UCBLinearTheta,TSLinearTheta,PHELinearTheta
0,0.9993832358558683,0.9871646667642704,0.9967879631475711
1,0.9967493001343005,0.9801874156472736,0.9895095893908448
2,0.9771534654622899,0.9523708200768036,0.9721366030367614
3,0.9685899551295423,0.9258414350160136,0.9634492145477098
4,0.9610602781097703,0.9157267019708677,0.9532838911790098
5,0.9518083865915401,0.9115353831959329,0.9384604524349894
6,0.9440749944873547,0.9030308332679773,0.9300093602587627
7,0.9230578898608105,0.8980496077034914,0.9071331518922026
8,0.9070555191644495,0.8884172083116877,0.8879695033552129
9,0.897311060514058,0.8679647309554348,0.870435962927424
10,0.8729699109936322,0.8487069298738955,0.8471451664118848
11,0.8470751434729824,0.8233354117454187,0.8189758980384017
12,0.8452157536443622,0.8167044888495232,0.7998288777907291
13,0.8369143909981794,0.8066673034422729,0.7914251680499089
14,0.8251879793326348,0.7955948766103137,0.7674141134930018
15,0.7771594846524773,0.7806971224912315,0.7280440720198254
16,0.7590745932053854,0.7788833533632377,0.6946125373353272
17,0.752731313710423,0.7786020686038106,0.674902379066451
18,0.7442379536157899,0.7697174674368104,0.6572384861957616
19,0.7363080281714567,0.7688562884703342,0.6360589914664923
20,0.7346335430139168,0.7649778617230354,0.632849973771008
21,0.7199601057120106,0.7548555114647453,0.5917190874608929
22,0.7193634801740175,0.7518789689813027,0.5648184626172759
23,0.7193813509064567,0.7259979099261675,0.5543760015986463
24,0.7193501952976075,0.7200036429216535,0.5341097665273746
25,0.7195265563198558,0.7167018947716651,0.5253656717075621
26,0.7184480950186634,0.710593327323495,0.515236081071233
27,0.7127331951143625,0.7059404462019115,0.5064430000149042
28,0.7126014193855299,0.7089817577927991,0.5039116426650279
29,0.712465503246477,0.6927889160982478,0.49929363796480786
30,0.7129562718613381,0.6923137929708245,0.49354291819074714
31,0.7121253715854724,0.6899240006463153,0.49330827849406383
32,0.7018036143188435,0.6895244943113237,0.49002617689806655
33,0.7022763621531238,0.6884836054066454,0.4871465495501055
34,0.6946096975553118,0.6880671732119152,0.48487466299434157
35,0.6922247692912753,0.682334360894378,0.48348188060398745
36,0.6888863634050388,0.6754695108689664,0.48254690175456166
37,0.6749676635507734,0.6728391413697881,0.4808039634515244
38,0.6737773895806102,0.6686497181767466,0.4736327481351769
39,0.6734297446279578,0.6689373631596627,0.47295311105088045
40,0.6747339005435075,0.6647798572248164,0.471608734096655
41,0.6740432055944954,0.6638671800335537,0.46981752173395064
42,0.6730026598343516,0.6638750671578,0.46985965181191036
43,0.672892886206642,0.6583700217456665,0.4695684910588766
44,0.6729029236591358,0.6560891392521125,0.4683458748738339
45,0.6728529572975346,0.6560338853492141,0.46849514657558294
46,0.6728203150239802,0.653950821630882,0.4675574685540246
47,0.672826574902097,0.6547119171140198,0.46760993823734154
48,0.672802084847031,0.6545896848312693,0.4659137804678055
49,0.6727619745027076,0.6523658110348319,0.4657803765156747
50,0.6727434312033939,0.6538369180122283,0.4651034876651833
51,0.6727654593935131,0.6449167709325387,0.46383131085089835
52,0.6727660122304862,0.6449185528835083,0.46363822472793165
53,0.6715549823463862,0.6436016384831726,0.46349475975417026
54,0.6722157256300408,0.6369708738427003,0.4630694860200027
55,0.6723962922994846,0.6294090940129529,0.46303845836647
56,0.6676986483889533,0.6219285890908245,0.4629979196544383
57,0.6572323609103288,0.6218773990095446,0.4629502702546587
58,0.6575952921129934,0.6218401428606394,0.462799030192539
59,0.6550307902563607,0.6221291510157196,0.46259518750693934
60,0.6550633837666642,0.6221353409654636,0.46222109293221436
61,0.6550539973268217,0.6221109881951523,0.46160865272018536
62,0.6550328681361031,0.621602442032914,0.4616230460359846
63,0.6545544641294583,0.621596567934876,0.4616099296743753
64,0.6545633595370947,0.6059396706700784,0.46128112987823366
65,0.6545640160912313,0.6050969402275004,0.46105658434868424
66,0.6545917090867363,0.5933411660148072,0.4601254056397999
67,0.6545733401830118,0.5915226614848835,0.45926627963186506
68,0.6545590844962983,0.5917217984830991,0.4589333439073703
69,0.6553986693997319,0.5918792085198575,0.45903906258540267
70,0.6553611987523648,0.5857186962369829,0.4589853336583178
71,0.6570356402568044,0.5858769344643087,0.45884106360060317
72,0.6572202756187832,0.5859068290694232,0.4588135821099909
73,0.6521911979838148,0.5859046625505926,0.458853677653355
74,0.6516947667574796,0.5793291782632257,0.4586111118814807
75,0.6520432017800684,0.5793358540708743,0.4584397678637714
76,0.6515638596198846,0.5793336282366589,0.45843796084481003
77,0.6516002457743539,0.5677650975673265,0.458167617636066
78,0.6516307408483364,0.5683444475089853,0.45810432589881545
79,0.6514438288156402,0.5683380332229124,0.45809946928980355
80,0.6515387706731535,0.5569189086896931,0.45796834607861137
81,0.6515220006653646,0.556908272051689,0.45783898590857597
82,0.6516114722121433,0.5567418811182719,0.4578470698861743
83,0.6515403686807086,0.5480904342071957,0.45781946469123486
84,0.651384340467734,0.5480738837126106,0.4576627054053513
85,0.6490925965156557,0.5522331585283913,0.4576475347542133
86,0.6442282989854107,0.5522182290268305,0.45764541132367575
87,0.6452377406174945,0.5460504350141928,0.45760826577715025
88,0.645304262819755,0.5456522710582887,0.4573073006439195
89,0.6297501952977596,0.5456019846204561,0.4573214792528926
90,0.6289163472708624,0.5385253587303417,0.45725872968907877
91,0.6283993530464752,0.5379103652447923,0.45743631789179917
92,0.6284348310841137,0.5326826104299005,0.4575694375566928
93,0.6279486991516776,0.5326930912016268,0.4575688807080506
94,0.6282839536106536,0.5321490557268973,0.45726829996845353
95,0.6343138001374651,0.5324339540575516,0.45725026715276657
96,0.6345049002871228,0.5324622078320029,0.45723575142320716
97,0.6352475487171125,0.5324110940149568,0.45715152110401763
98,0.6352349886572215,0.53244565815867,0.4570099841742146
99,0.6352139305138713,0.5324130024967481,0.4569530297017188
