Time(Iteration),UCBLinear,TSLinear
0,0.33418506294954364,0.38337005932525725
1,0.6874939162256768,0.7908380667073642
2,1.0626046760700856,1.197663520981723
3,1.255473929578383,1.705761578701157
4,1.3885625914605146,2.01000775235521
5,1.5574512482297078,2.389965442331772
6,1.7535809464970025,2.7441777386024135
7,1.956817582203125,3.1974175729878533
8,2.119659224038281,3.503058104146352
9,2.2779549012135085,3.884604000429666
10,2.572823822557777,4.170528486270981
11,2.7965222510749475,4.591850162740274
12,3.0473996715952145,5.010180229666459
13,3.292942849567074,5.376663612490313
14,3.4842008345817406,5.880941531688589
15,3.6766902290556396,6.312705586755978
16,3.9888519322393505,6.778547292958275
17,4.209466047968006,7.106903052340338
18,4.409923077570501,7.41810384234924
19,4.5840124082688165,7.778232106328625
20,4.736415288826688,8.050195939285262
21,4.9306395042636675,8.419734973493494
22,5.136211647689562,8.69183933669747
23,5.2513943331405,8.869690780935311
24,5.389269062014154,9.108688670014239
25,5.560656661436729,9.459748344577243
26,5.697250510563171,9.626963740126268
27,5.813758597822881,9.79261605340777
28,5.899500608038549,10.072173616922214
29,5.963430234000844,10.213312744672056
30,6.044574345164381,10.272776056091265
31,6.11003431956938,10.335132081832652
32,6.192125321686545,10.400173072956903
33,6.318314076028885,10.52566953499569
34,6.503936090532202,10.606021930186694
35,6.604900249821166,10.62242647770066
36,6.75842761097473,10.664704310114102
37,6.9129454807907305,10.692709392541051
38,6.9565477700491085,10.723986277291932
39,6.998399452093348,10.798565484325211
40,7.015050632812569,10.8293489947692
41,7.0317018135317895,10.863026307311054
42,7.1016263802438955,10.865433045872347
43,7.156028730410702,10.894389845791697
44,7.201364501724456,10.898141784768857
45,7.24086408726383,10.923104162133937
46,7.258507128034987,10.952493563566998
47,7.2935173654881424,10.993336068411779
48,7.3307154098979606,11.02464446473569
49,7.451929757796674,11.050752038161573
50,7.52124077476409,11.107758445264476
51,7.591625235201464,11.13527030234673
52,7.636923715198671,11.157159004023832
53,7.6725978259985865,11.193962103409394
54,7.709478149941757,11.232087247466657
55,7.737121909754779,11.242013060911146
56,7.821533877691136,11.252986706280598
57,7.855399348685556,11.261197835238033
58,7.8986571595287005,11.290526197755472
59,7.948617423652071,11.294938435427188
60,7.992204923529698,11.360319288477061
61,8.030943450493814,11.371773324622056
62,8.082563441262549,11.381481929084428
63,8.11821662130451,11.41322438920452
64,8.184145430251963,11.415745577646147
65,8.214975256271583,11.470384528996233
66,8.246981070316965,11.506904789284167
67,8.302383378730585,11.572361959608909
68,8.370725846842822,11.580440928285109
69,8.413989695466146,11.59200517799348
70,8.481685919873307,11.59200517799348
71,8.555875284992602,11.611178924810833
72,8.5793227161599,11.6315956729967
73,8.642607886628193,11.633486722226788
74,8.681825271039164,11.647715550966543
75,8.70527270220646,11.647715550966543
76,8.722915742977618,11.64960660019663
77,8.762857600103308,11.655410990592772
78,8.819533163755612,11.675714173622515
79,8.877827362368919,11.675714173622515
80,8.913130995119287,11.684039752460283
81,8.95711091007383,11.695361628324042
82,9.035896816606456,11.731532351052058
83,9.11371939127508,11.739611319728258
84,9.141249585931979,11.761910136082792
85,9.239807713857598,11.764247196550594
86,9.278794357602433,11.764247196550594
87,9.315259812905639,11.78065174406456
88,9.388065621104051,11.788977322902326
89,9.44056954161158,11.801851018567184
90,9.494826337995592,11.809546458193413
91,9.510132318298947,11.821884237703081
92,9.5254382986023,11.835343772958497
93,9.540744278905654,11.85354843688355
94,9.556050259209009,11.855439486113637
95,9.571356239512363,11.857846224674931
96,9.586662219815718,11.871729583747271
97,9.601968200119071,11.907510900118492
98,9.617274180422426,11.948580051852312
99,9.63258016072578,11.9504711010824
