Time(Iteration),UpperConfidenceBound,ThompsonSampling,PerturbedHistoryExploration
0,0.3370917865401479,0.3615228103156743,0.3370917865401479
1,0.8033739694123947,0.8206916668568107,0.8033739694123947
2,1.2227545249204035,1.079598624004475,1.2227545249204035
3,1.5846474867079374,1.5200937214984378,1.5846474867079374
4,2.01821705212309,1.9393223583435195,2.01821705212309
5,2.4450565580197408,2.2999963785462416,2.4450565580197408
6,2.8195634806460412,2.647678538112439,2.8195634806460412
7,3.154953731626903,3.043386014404674,3.154953731626903
8,3.5172385921745954,3.4607926468213557,3.5172385921745954
9,3.8218177663185218,3.771660686939671,3.8218177663185218
10,4.1418246755930666,4.150540413261662,4.1418246755930666
11,4.456361842560687,4.458118166368481,4.456361842560687
12,4.834929486746562,4.898123162816309,4.834929486746562
13,5.2619766006017565,5.275721710702274,5.2619766006017565
14,5.703155478484797,5.624936122004277,5.703155478484797
15,6.067448616428041,6.035241146113984,6.067448616428041
16,6.356829097536051,6.434264539752833,6.356829097536051
17,6.666209736717427,6.84070894616646,6.666209736717427
18,7.048300475086296,7.221865329958274,7.048300475086296
19,7.503854071600335,7.559825913475916,7.503854071600335
20,7.947282622459985,7.904573093553043,7.947282622459985
21,8.261675775233519,8.283636175781892,8.261675775233519
22,8.697514559979497,8.671855329156582,8.697514559979497
23,9.073701506939125,9.050793597549868,9.073701506939125
24,9.564713692382037,9.373032600659307,9.564713692382037
25,9.68253248945979,9.581521884109566,9.71876438564092
26,9.832410612991051,9.842682441269655,9.865931594477399
27,9.948335375748135,10.091354410090556,10.0057381409109
28,10.1345570766007,10.399321494731044,10.139971710202554
29,10.361338526105468,10.626105738653438,10.288359786345543
30,10.577691710960138,10.807348074167153,10.497109289739093
31,10.76581081088903,10.892007457174143,10.696385065714212
32,10.97834083295137,11.0744654327824,10.963591365456065
33,11.260093021594972,11.233429791359912,11.216018754638458
34,11.45502981292287,11.391011512265418,11.5280960748454
35,11.553359221154562,11.559253488067204,11.679322303095013
36,11.719963996179324,11.655699681453337,11.841756335787336
37,11.804117431513081,11.918233780612642,12.169490401921895
38,11.905968818739671,12.076658404194358,12.333102715185206
39,12.080076405869015,12.265722917087187,12.648870105057256
40,12.201319425109558,12.39846430491948,12.816562299565081
41,12.493244095712047,12.521696141656074,13.126219667584177
42,12.722072673869379,12.60857289112369,13.382596686860754
43,12.833637111976438,12.894028804159811,13.643185163828225
44,12.875948698636417,13.003329968927776,13.926522977443478
45,13.051777547245413,13.184159240511786,14.174872466517158
46,13.154074837491013,13.340392638520814,14.399360295480307
47,13.2213152397082,13.490340610958915,14.557047587905405
48,13.381224435557673,13.632774624111548,14.855297850484797
49,13.516608157299547,13.792004632404717,15.058663577116542
50,13.5434279068979,13.943901398766013,15.259937930459532
51,13.753698410798856,14.04474680640458,15.423011683143788
52,13.987324206248218,14.135628864873379,15.596996981361915
53,14.130385712921969,14.296863861081366,15.921113840142286
54,14.194331968738402,14.37998357791686,16.198649010925475
55,14.360531312531966,14.475659374426872,16.46595601479627
56,14.524985929073395,14.575449489139405,16.720884275871022
57,14.685436902152455,14.706098180042265,16.86284254886277
58,14.824129359486898,14.856365165569747,17.11993235456862
59,14.919646156354863,14.979504889374855,17.277241077882447
