Time(Iteration),PerturbedHistoryExploration
0,0.18934545733636596
1,0.41769101923985685
2,0.6754962954156406
3,0.9246705564325947
4,1.169612265337866
5,1.4231967194839654
6,1.6038034390370892
7,1.813609634853984
8,2.0922992699773433
9,2.2526219283828866
10,2.4799324261365165
11,2.6816418458408258
12,2.9282463119935533
13,3.1581544066778138
14,3.330343299078332
15,3.5902210845088076
16,3.8308118331803156
17,4.092544571686073
18,4.297010808018795
19,4.556290319799722
20,4.772280174177962
21,4.987024284441487
22,5.223783895192094
23,5.487431706702897
24,5.663537675957127
25,5.883565907143564
26,6.113545477275477
27,6.371816529943368
28,6.6550503268040275
29,6.857760789694181
30,7.114785250367277
31,7.317693887568235
32,7.571099074623168
33,7.871062935358767
34,8.116593188096223
35,8.378690221378053
36,8.629923072894112
37,8.878245706874562
38,9.166126862231451
39,9.399777978359072
40,9.598860685990434
41,9.845914835360858
42,10.061603933535066
43,10.301679121561309
44,10.511590249966126
45,10.715552714036637
46,10.887855079304414
47,11.124794332989612
48,11.357085304197609
49,11.581721114298002
50,11.74503978840083
51,12.023219967237576
52,12.259000300716496
53,12.478234997873226
54,12.714547193850166
55,12.98181523577615
56,13.172951742205584
57,13.442958134278157
58,13.7020574064969
59,13.951677852239154
60,14.187339937819928
61,14.397314178313536
62,14.621087987552722
63,14.875167056173165
64,15.105830870387582
65,15.320204516882285
66,15.530881761446953
67,15.745214079335724
68,15.947206800150136
69,16.161893176477047
70,16.378065300446824
71,16.589530343626738
72,16.84870273735003
73,17.017541741809946
74,17.270629961361806
75,17.494236438624547
76,17.698750418589583
77,17.927704011082003
78,18.193539720609802
79,18.43599479206289
80,18.666563807093233
81,18.937344410004236
82,19.120709294562374
83,19.367253863151454
84,19.56406038319679
85,19.81770365897676
86,20.043376785115903
87,20.295287179733105
88,20.539530758016113
89,20.723577749399546
90,20.958950216632545
91,21.19491814206903
92,21.423043953075517
93,21.69523086808269
94,21.93032236038797
95,22.17159853629625
96,22.352774262894602
97,22.600574583136556
98,22.858813014758294
