Time(Iteration),UpperConfidenceBound,ThompsonSampling,PerturbedHistoryExploration
0,0.47320420303324057,0.41155450828298334,0.47320420303324057
1,0.8326480623225058,0.738702257507612,0.8326480623225058
2,1.226408103126422,1.0755845367065429,1.226408103126422
3,1.6187548143445813,1.4837509350849838,1.6187548143445813
4,1.8253709661299582,1.930594122059436,1.8253709661299582
5,2.2057288297274584,2.153376412386189,2.2057288297274584
6,2.3977743851004876,2.473319316068582,2.3977743851004876
7,2.819770762565157,2.9588200639761064,2.819770762565157
8,3.212744684105406,3.376653521650282,3.212744684105406
9,3.6155340849424853,3.8386565450150747,3.6155340849424853
10,3.9077881818036517,4.221026716384522,3.9077881818036517
11,4.3102693572250255,4.625860143418068,4.3102693572250255
12,4.660378629280129,4.907121264874792,4.660378629280129
13,5.028017253931416,5.401056847968864,5.028017253931416
14,5.54273800595886,5.8053152427080805,5.54273800595886
15,5.91719583762179,6.091837328098075,5.91719583762179
16,6.27087709235611,6.554639745691013,6.27087709235611
17,6.69618368567353,6.89427585070362,6.69618368567353
18,7.095420981321335,7.160150647883251,7.095420981321335
19,7.652249149447099,7.448762631711115,7.652249149447099
20,8.10255088302976,7.795063532893936,8.10255088302976
21,8.550930282223753,8.058095579648555,8.550930282223753
22,8.911529937017429,8.442774573820756,8.911529937017429
23,9.23369753583565,8.75133040077534,9.23369753583565
24,9.590838496601233,8.97036990491888,9.590838496601233
25,9.674107693034564,9.181623598438355,9.691939175484523
26,9.73461019876394,9.333807066561276,9.820984527660137
27,9.824107463718615,9.472064090982846,9.911737299096881
28,9.881592160386337,9.621071332863222,10.013342441100155
29,9.952501823013922,9.811322483811281,10.155479429782044
30,10.015284370351386,10.005739533941348,10.31585297036732
31,10.109913855645146,10.025577223691636,10.478974336430953
32,10.136379981804652,10.125100849712053,10.596960734223739
33,10.167265033690342,10.14761474322663,10.795306784791695
34,10.250461060857813,10.194851035207677,11.007500216655583
35,10.268600281503822,10.244264516628926,11.188740748120647
36,10.345236053621825,10.299784619637688,11.352153801450998
37,10.426922482927981,10.371933543484605,11.5161507661642
38,10.474316391224201,10.45656935486642,11.607865267569409
39,10.498789364420785,10.505834436061892,11.785652887640937
40,10.543157048098173,10.579920426878271,12.001299871782605
41,10.596579976595033,10.59172720209921,12.169975083552604
42,10.629442531556979,10.689774747066163,12.426971111257743
43,10.664386510315774,10.718347931876455,12.690246958283142
44,10.736839430298158,10.745978251117826,12.814324634182919
45,10.743746913221411,10.796337981925348,13.011196632790538
46,10.773463484957432,10.885149895027235,13.199071968124581
47,10.829048005309875,10.931286472752138,13.510621863807723
48,10.868817345204748,10.936050781865298,13.720017865290348
49,10.964053130840533,10.947816688522856,13.855246728819798
50,10.983654724875695,10.953427869549637,14.119870359542583
51,11.00819225320546,10.965346882181702,14.330290243596957
52,11.031778356848019,10.978522230619669,14.503501885384367
53,11.055462895995948,11.015821606094597,14.710768142869588
54,11.072000286222517,11.087239754190776,14.84999711680563
55,11.11590508711137,11.10037423406536,15.026821980745614
56,11.151523310074868,11.143134191558508,15.277747174843299
57,11.2345306819381,11.151717701549249,15.503678366705884
58,11.28769020047399,11.163524476770188,15.651985445670253
59,11.32423369531712,11.18716825412949,15.804653223616251
60,11.344510460503171,11.19897502935043,15.994755842237733
61,11.38253949020352,11.22333384819356,16.195472765809306
62,11.435311647091142,11.242798490441654,16.467623024375495
63,11.465885182499367,11.27732336311894,16.67283690209497
64,11.494589200494534,11.28860083301497,16.80519289437932
65,11.569889152658407,11.320360376939224,16.97836034632146
66,11.610745029964445,11.363014819587548,17.09921730934491
67,11.625035921666036,11.411043683369027,17.34467459836163
68,11.65339794083606,11.449180187438062,17.412033193219038
69,11.681060409922598,11.459132270645828,17.660710131632996
70,11.726244584687944,11.46771578063657,17.866683208400868
71,11.761783577241648,11.51463391841833,18.0065664569578
72,11.773102139979278,11.52985043620369,18.292420434872366
73,11.796939620880329,11.53843394619443,18.54941279154948
74,11.858928125404102,11.5610295973157,18.739976975456457
75,11.905308178493481,11.598274428442219,18.941229580150313
76,11.920924456883332,11.632164770826622,19.04038558619306
77,11.927466672442058,11.664465484838894,19.258263448139626
78,11.947713695420887,11.679641685498279,19.420702123510978
79,11.96765289513052,11.699462223174454,19.6262960231869
80,12.034685113610172,11.708885001057311,19.976402787781772
81,12.035214418935082,11.716939205723142,20.169642160271355
82,12.049554234682393,11.762847611190516,20.41886532724375
83,12.070876786975429,11.776655238632875,20.655712888060673
84,12.13452835105382,11.803457081115056,20.84599145040888
85,12.178464996081038,11.811511285780886,21.016567104410214
86,12.219011332047604,11.820094795771627,21.254057669277852
